Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"35,000",2,1,1314,Narsingi
Furnished,"30,000",2,2,1280,Narayanguda
Semi-Furnished,"30,000",3,1,1490,Hafeezpet
Unfurnished,"18,000",3,2,1500,Nallakunta
Unfurnished,"33,000",2,1,1278,Kukatpally
Semi-Furnished,"35,000",2,2,1600,Banjara Hills
Semi-Furnished,"35,000",3,1,1545,Gachibowli
Semi-Furnished,"40,000",3,1,2430,Kondapur
Semi-Furnished,"40,400",3,2,1834,Narsingi
Unfurnished,"17,000",2,2,1100,Secunderabad
Semi-Furnished,"48,000",3,1,1738,Hitech City
Unfurnished,"48,000",3,1,2440,Gachibowli
Semi-Furnished,"22,000",3,3,1490,Hyderabad
Semi-Furnished,"40,000",3,2,2690,Hafeezpet
Unfurnished,"18,000",2,2,1000,Rd
Unfurnished,"16,000",2,1,1000,Kukatpally
Semi-Furnished,"20,000",2,1,1100,Kondapur
Semi-Furnished,"45,000",3,2,1800,Gachibowli
Semi-Furnished,"40,000",3,3,2265,Hitech City
Semi-Furnished,"17,000",2,1,1150,Jubilee Hills
Semi-Furnished,"25,000",2,2,1260,Madhapur
Unfurnished,"28,000",3,2,1558,Hitech City
Semi-Furnished,"20,000",2,2,1345,Kondapur
Semi-Furnished,"15,000",3,1,1380,Dammaiguda
Semi-Furnished,"20,000",2,2,1100,"Bagh,"
Semi-Furnished,"45,000",3,1,2300,Banda
Semi-Furnished,"30,000",3,1,1650,Mehdipatnam
Semi-Furnished,"35,000",3,1,1545,Guda
Semi-Furnished,"30,000",2,2,1295,Banda
Furnished,"41,000",2,1,1262,Hitech City
Semi-Furnished,"31,000",3,3,1600,Serilingampally
Semi-Furnished,"36,000",3,2,2345,Ring
Unfurnished,"29,000",2,4,1100,Jubilee Hills
Semi-Furnished,"23,000",3,2,1550,Narayanguda
Semi-Furnished,"28,000",3,3,1800,Hafeezpet
Semi-Furnished,"35,000",3,2,2500,Hitech City
Semi-Furnished,"45,000",3,2,1854,Kukatpally
Furnished,"50,000",3,2,2350,Gachibowli
Semi-Furnished,"45,000",3,3,2400,Madhapur
Semi-Furnished,"23,000",3,1,1485,Kondapur
Unfurnished,"16,000",2,1,900,Banjara Hills
Semi-Furnished,"38,000",4,3,2550,Ameerpet
Semi-Furnished,"42,000",3,2,2160,Gachibowli
Furnished,"26,000",3,2,1628,junction
Unfurnished,"50,000",3,1,2200,Jubilee Hills
Semi-Furnished,"50,000",4,2,2300,Gachibowli
Semi-Furnished,"48,000",3,2,2400,Madhapur
Semi-Furnished,"25,000",3,3,1600,Kukatpally
Semi-Furnished,"22,000",3,2,1800,"Nagar,"
Semi-Furnished,"25,000",3,1,1300,Chowki
Unfurnished,"40,000",3,2,1834,Gachibowli
Unfurnished,"18,000",2,1,1250,Marredpally
Semi-Furnished,"17,000",2,1,1200,Chowki
Unfurnished,"50,000",3,2,2200,Banjara Hills
Semi-Furnished,"18,000",3,2,1504,Manikonda
Furnished,"45,000",3,2,1900,Kondapur
Semi-Furnished,"45,000",3,1,1615,Kondapur
Semi-Furnished,"18,000",2,3,907,Begumpet
Semi-Furnished,"17,500",2,2,1233,Attapur
Semi-Furnished,"14,000",3,2,2000,"Saroornagar,"
Semi-Furnished,"15,000",2,1,1800,Colony
Semi-Furnished,"35,000",3,1,2092,Manikonda
Semi-Furnished,"13,000",3,1,1210,Nagaram
Unfurnished,"17,000",2,1,6000,Chandanagar
Furnished,"25,000",3,3,1650,Kothaguda
Furnished,"15,000",2,2,1140,Miyapur
Semi-Furnished,"12,000",3,2,1650,"Saroornagar,"
Semi-Furnished,"30,000",2,1,1217,Ring
Furnished,"39,000",2,1,1350,Ring
Furnished,"26,000",2,2,1230,Kondapur
Semi-Furnished,"30,000",3,1,1685,Ring
Semi-Furnished,"18,000",3,2,1800,Bandlaguda
Semi-Furnished,"20,000",2,2,1514,Jeedimetla
